X,Y,Z,azimuth,dip,polarity,formation
4729793.078,2054372,2627.328447,90,6,1,Capa_1
4730808.092,2054372,2304.037062,90,10,1,Capa_1
4731335.673,2054372,1332.762234,90,42,1,Capa_1
4732037.505,2054372,287.1408674,90,42,1,Capa_1
4733159.138,2054372,746.393731,270,12,1,Capa_1
4733615.912,2054372,1719.537454,270,12,1,Capa_1
4734267.372,2054372,2088.198717,270,26,1,Capa_1
4737273.494,2054372,1512.651245,270,22,1,Capa_1
4738798.041,2054372,1395.715468,90,26,1,Capa_1
4740694.371,2054372,833.511893,90,14,1,Capa_1
4742595.311,2054372,1168.97887,270,15,1,Capa_1
4738708.237,2054372,2774.898834,90,40,1,Capa_2
4740176.741,2054372,1774.874976,90,8,1,Capa_2
4742458.707,2054372,2022.206042,270,3,1,Capa_2
4734703.466,2054372,2136.421683,90,89,1,Conducto_C
4733987.229,2054372,919.036064,270,60,-1,Conducto_C
4733493.846,2054372,-1163.691165,90,79,1,Conducto_C
4734207.504,2054372,-2468.486508,90,19,1,Conducto_C
4735194.858,2054372,-2943.474931,270,16,1,Conducto_C
4736727.102,2054372,-2515.079387,270,36,1,Conducto_C
4737407.091,2054372,-1352.107728,270,76,1,Conducto_C
4737172.105,2054372,274.5071347,90,63,-1,Conducto_C
4736689.931,2054372,1352.061894,90,63,-1,Conducto_C
4736576.021,2054372,2486.707306,90,65,-1,Conducto_C
4729761.158,2051291,1128.062926,90,13,1,Capa_1
4730880.604,2051291,2127.028663,270,60,1,Capa_1
4731669.61,2051291,2525.32825,90,33,1,Capa_1
4732753.069,2051291,2019.656066,90,15,1,Capa_1
4733931.154,2051291,1974.010002,270,13,1,Capa_1
4738777.601,2051291,2412.312361,90,15,1,Capa_1
4741035.226,2051291,2217.946373,90,15,1,Capa_1
4742811.865,2051291,1908.004167,90,17,1,Capa_1
4734301.782,2051291,2457.638203,90,59,1,Capa_A
4734951.107,2051291,955.55412,90,45,1,Capa_A
4735741.302,2051291,-565.5712743,90,30,1,Capa_A
4737271.309,2051291,1072.605725,270,54,1,Capa_A
4737620.28,2051291,2511.3944,270,54,1,Capa_A
4740008.091,2051291,1448.418138,270,82,-1,Capa_M
4739931.003,2051291,202.463827,270,86,-1,Capa_M
4739924.149,2051291,-1305.675013,90,72,1,Capa_M
4741062.682,2051291,-2447.75022,270,23,1,Capa_M
4741559.296,2051291,-880.5309095,90,85,-1,Capa_M
4741347.501,2051291,739.961685,90,84,-1,Capa_M
4740561.224,2051291,2259.610493,90,8,-1,Capa_M
4735125,2046785.827,686.567471,360,56,1,Capa_1
4735125,2047935.409,356.7714818,180,23,1,Capa_1
4735125,2049097.101,850.242882,180,33,1,Capa_1
4735122.874,2049742.728,1563.888635,180,25,1,Capa_1
4735125,2057057.958,2215.726853,180,24,1,Capa_1
4735125,2058020.961,2523.277229,180,24,1,Capa_1
4735125,2059099.429,2776.107798,180,24,1,Capa_1
4735125,2059965.252,2998.154899,180,24,1,Capa_1
4735121.292,2049983.241,1621.937495,180,68,-1,Capa_A
4735125,2050059.032,54.3976319,360,52,1,Capa_A
4735125,2051417.412,-543.0771723,180,3,1,Capa_A
4735125,2052731.257,403.843948,180,46,1,Capa_A
4735125,2053261.293,1702.229429,180,57,1,Capa_A
4735125,2053330.86,2446.972879,360,65,1,Conducto_C
4735125,2053191.727,1157.052271,360,85,1,Conducto_C
4735125,2053048.806,-652.6884096,360,89,1,Conducto_C
4735125,2053306.084,-2015.418952,360,16,1,Conducto_C
4735125,2054027.279,-3009.050875,360,9,1,Conducto_C
4735125,2055427.182,-3237.678105,360,3,1,Conducto_C
4735125,2056685.722,-2764.56699,180,80,1,Conducto_C
4735125,2056615.707,-1527.585903,360,78,-1,Conducto_C
4735125,2056281.226,-434.7770952,360,84,-1,Conducto_C
4735125,2056175.379,912.569406,180,89,1,Conducto_C
4735125,2056426.421,2136.047451,180,80,1,Conducto_C
4740700.829,2048040.661,601.100188,360,9,1,Capa_1
4740700.829,2049262.916,1278.861941,180,20,1,Capa_1
4740700.829,2049975.393,1288.031461,180,160,1,Capa_1
4740700.829,2050109.443,282.0439019,360,45,1,Capa_1
4740700.829,2053472.214,530.548847,180,85,1,Capa_1
4740700.829,2054664.568,226.2419276,360,32,1,Capa_1
4740700.829,2056663.467,-239.7398833,180,2,1,Capa_1
4740700.829,2058777.999,-317.8320828,180,5,1,Capa_1
4740700.829,2060159.964,-135.0011603,180,9,1,Capa_1
4740700.829,2052228.327,1504.512256,360,6,1,Capa_2
4740700.829,2053847.917,1481.175782,360,4,1,Capa_2
4740700.829,2057395.191,593.422195,180,4,1,Capa_2
4740700.829,2059660.485,663.425083,180,18,1,Capa_2
4740700.829,2050600.949,1198.152145,360,79,1,Capa_M
4740700.829,2050655.886,-169.3092012,360,65,1,Capa_M
4740700.829,2051133.298,-1541.086911,360,56,1,Capa_M
4740700.829,2051888.372,-2807.00286,180,34,1,Capa_M
4740700.829,2053218.705,-2593.097376,180,56,1,Capa_M
4740700.829,2053587.9,-835.4351281,180,86,1,Capa_M
4740700.829,2052379.783,952.451449,360,46,-1,Capa_M
4740700.829,2051559.173,1644.700138,360,47,-1,Capa_M
4740700.829,2053211.927,120.3015249,360,47,-1,Capa_M
