X,Y,Z,azimuth,dip,polarity,formation
4467452.115,1678642.084,2235.32,90,1,1,B1
4469196.934,1678639.749,2157.49,90,4,1,B1
4471252.267,1678636.998,1762.208,90,29,1,B1
4467910.72,1675815.322,2792.705,65,3,1,B1
4471733.378,1677591.732,2545.288,65,4,1,B1
4477408.289,1680228.724,2717.66,65,48,1,B1
4479195.728,1681059.261,1716.974,65,10,1,B1
4482808.709,1682737.977,1421.006,245,10,1,B1
4483544.329,1683079.762,1350.108,65,15,1,B1
4485263.296,1683878.417,1039.49,65,15,1,B1
4480925.923,1670123.014,1942.559,140,1,1,B1
4483723.264,1671689.334,1744.838,57,1,1,B1
4485746.569,1672772.517,2489.193,116,2,1,B1
4472789.234,1664607.652,2033.743,57,0,1,B3
4475577.181,1666413.449,2043.424,57,1,1,B3
4478915.115,1668575.374,1921.455,57,2,1,B3
4474360.514,1666548.541,1362.501,220,9,1,B3
4474611.386,1666846.788,1362.153,40,22,1,B3
4476194.036,1668728.264,1309.202,220,4,1,B3
4479515.225,1678786.866,1683.536,25,1,1,B3
4473158.714,1664066.649,2169.151,3,1,1,B3
4482911.45,1674159.794,2347.98,296,3,1,B3
4484067.492,1666369.734,2150.672,140,48,1,B3
4484326.891,1666059.84,1924.23,140,11,1,B3
4484753.811,1665549.822,1875.22,140,1,1,B3
4485472.395,1672822.085,1885.322,57,34,1,B3
4486190.903,1673287.387,1838.105,237,6,1,B3
4478260.228,1671184.46,1776.758,40,38,1,B4
4478612.239,1671602.9,1428.36,40,24,1,B4
4479406.059,1672546.511,1354.601,220,2,1,B4
4485539.938,1679837.152,1872.389,220,22,1,B4
4485122.83,1679341.423,1764.825,40,2,1,B4
4484677.81,1678812.513,1746.896,220,5,1,B4
4475617.587,1677729.068,1843.7,296,2,1,DA
4474958.839,1678051.445,1851.183,296,1,1,DA
4470464.786,1680250.824,757.934,296,14,1,DA
4473411.412,1678808.737,1636.868,296,13,1,DA
4471545.013,1681332.439,2064.042,320,6,1,DA
4475692.841,1676375.767,1981.051,140,19,1,DA
4475396.052,1676730.413,2092.39,140,4,1,DA
4471919.539,1678636.105,2666.993,90,55,1,DA
4474139.559,1678633.134,1558.38,270,26,1,DA
4475128.448,1678631.81,1846.784,90,6,1,DA
4477416.792,1678628.748,1936.571,270,15,1,DA
4478782.685,1678626.92,2154.672,90,14,1,DA
4482475.972,1678621.977,1908.184,270,2,1,DA
4472328.058,1677868.075,2850.437,65,44,1,DA
4473085.995,1678220.279,2347.53,65,15,1,DA
4477929.194,1680470.765,1187.266,245,72,1,DA
4477088.437,1680080.102,864.061,65,26,1,DA
4476408.262,1679764.05,1441.156,65,45,1,DA
4475544.155,1679362.529,1755.797,245,1,1,DA
4473937.069,1678569.928,1800.795,3,15,1,DA
4474019.974,1680112.116,1433.514,3,8,1,DA
4474122.59,1682020.302,1177.075,3,16,1,DA
4467527.179,1675637.083,2852.043,245,11,1,DP
4469109.738,1676372.522,2934.889,65,4,1,DP
4472404.76,1677903.718,3316.504,245,15,1,DP
4471135.945,1677314.108,3097.315,245,5,1,DP
4473275.323,1678308.256,3401.772,65,9,1,DP
4475499.167,1679341.625,3461.962,245,7,1,DP
4476478.514,1679796.694,3410.457,65,20,1,DP
4478267.269,1680627.853,2977.043,65,9,1,DP
4485372.45,1683929.13,2540.78,65,16,1,DP
4481942.541,1682335.534,2628.328,65,5,1,DP
4482930.245,1682794.445,2664.264,245,8,1,DP
4469559.947,1678639.263,2787.222,270,3,1,DP
4472011.738,1678635.982,3156.422,270,15,1,DP
4473146.125,1678634.463,3263.826,90,7,1,DP
4475970.229,1678630.684,3112.562,270,2,1,DP
4479215.995,1678626.34,3136.389,90,11,1,DP
4481227.593,1678623.648,2635.23,90,21,1,DP
4483179.974,1678621.035,2644.526,270,7,1,DP
4485684.311,1678617.684,2712.633,90,10,1,DP
4471393.47,1679796.318,3141.855,296,8,1,DP
4472917.543,1679050.434,3197.703,116,26,1,DP
4475505.615,1677783.864,2179.391,116,10,1,DP
4477312.536,1676899.607,2188.056,296,6,1,DP
4481060.057,1675065.743,2770.882,296,10,1,DP
4483249.24,1673994.504,2791.565,116,5,1,DP
4485388.855,1672947.551,2728.033,296,8,1,DP
4472116.887,1680649.013,3270.366,320,9,1,DP
4474333.531,1678000.087,2879.563,140,20,1,DP
4476209.581,1675758.301,2072.304,140,2,1,DP
4478688.622,1672796.147,2186.087,320,5,1,DP
4481321.802,1669650.034,2881.117,320,14,1,DP
4482461.78,1668288.063,3020.459,140,1,1,DP
4483803.819,1666684.736,2470.266,140,16,1,DP
4484727.114,1665581.714,2232.519,140,5,1,DP
4472954.497,1664763.548,2626.914,205,6,1,DP
4474843.319,1668801.426,2685.289,25,10,1,DP
4476292.87,1671899.918,2356.127,205,7,1,DP
4476883.425,1673162.177,2734.28,205,20,1,DP
4477565.926,1674620.911,2906.325,205,1,1,DP
4478686.354,1677015.5,2673.147,25,8,1,DP
4480892.125,1681729.209,2103.957,25,13,1,DP
4481455.043,1682932.054,2317.755,205,25,1,DP
4481812.272,1683695.361,2236.508,25,11,1,DP
4482796.338,1685797.968,2245.904,205,7,1,DP
4483353.878,1686989.181,2585.218,205,22,1,DP
4483549.336,1687406.777,2694.132,205,8,1,DP
4473153.975,1663978.23,2577.442,183,6,1,DP
4473345.624,1667553.427,2649.698,3,5,1,DP
4473579.63,1671915.178,2296.58,183,2,1,DP
4473717.106,1674475.764,2197.925,3,2,1,DP
4474036.247,1680414.773,2535.055,183,10,1,DP
4474119.711,1681966.762,2439.799,3,15,1,DP
4472641.286,1664511.821,2480.802,237,5,1,DP
4477839.054,1667878.44,2567.478,57,9,1,DP
4479419.993,1668902.366,2037.237,57,19,1,DP
4481399.926,1670184.672,1848.608,57,2,1,DP
4482889.266,1671149.219,1987.006,237,16,1,DP
4483953.677,1671838.553,2033.472,57,2,1,DP
4486047.945,1673194.81,2081.609,237,5,1,DP
4474155.816,1666305.186,2339.91,220,6,1,DP
4476511.176,1669105.274,2374.429,40,6,1,DP
4479142.516,1672233.241,2496.637,220,17,1,DP
4481209.957,1674690.724,2869.531,220,5,1,DP
